title,channel_id,description,subscriber_count,view_count,normalized_subscribers,normalized_views
ECONOMÍA Y FINANZAS,UCOVzzbNYpRQvSGRODJiEwPA,Sin descripción,0,221,0.0,4.307551623326167e-06
Finanzas Personales,UCV5SfhA93kzc9KKRzL09CoA,"Bienvenido a mi canal de finanzas personales, donde te ayudaré a entender cómo gestionar tu dinero y hacer inversiones al lago plazo. Si eres una persona joven que quiere aprender a ahorrar, gastar de manera inteligente y hacer crecer tu dinero a largo plazo, entonces este es el lugar adecuado para ti. Te ofreceré consejos prácticos, estrategias y herramientas para que puedas tomar decisiones financieras informadas y alcanzar tus metas económicas.

",391,40719,0.0007007168458781362,0.0007936615138018924
Economía y finanzas,UC07aOkTp6Kvut3sXtrzvQHA,Sin descripción,3,381,5.376344086021505e-06,7.426141033879049e-06
Finanzas para Mortales - Educación Financiera,UCIcZI3Hwwfz-tBjrr2b8wjQ,"📚 ¿Quieres ver la #economía y las #finanzas de una manera diferente y que todos podamos entender?

👌 #FinanzasparaMortales es un proyecto de #educacionfinanciera de Banco Santander y Santander Financial Institute (SANFI) que tiene como objetivo acercar el mundo de las finanzas y la economía a los mortales, dos mundos que muchas veces parece que no se entienden, pero que se necesitan. Te esperamos en:

🔗 http://www.finanzasparamortales.es
",9820,816674,0.01759856630824373,0.01591794305171165
Economía y finanzas,UCNeoYDT_A1AJIB5aPGnFo5w,"Bienvenidos a este canal de economía y finanzas, aquí vamos a ayudarte a conquistar el mundo financiero y a alcanzar tus metas económicas. 
El objetivo de este canal es proporcionarte conocimientos prácticos y consejos inteligentes para que tomes el control de tus finanzas y construyas un futuro financiero sólido. 
Aquí analizamos estrategias de inversión, desde acciones hasta bienes raíces, desentrañando conceptos para que puedas tomar decisiones informadas.
Por último, este canal está enfocado en mantenerte informad@ de las noticias sobre la economía mundial y sobretodo en que aprendas a ser una persona económicamente independiente.
Subscríbete y activa la campana para recibir notificaciones y únete a miles de personas que están transformando sus vidas financieras con ""Economía y finanzas"".



",7,283,1.2544802867383513e-05,5.5160050199154096e-06
Economía y Finanzas Personales,UCT2awhPiC7biJ1DPgiihoyw,"SUSCRÍBETE y mira más Videos de este Canal.

Aquí hablamos de: 
Economía
Finanzas Personales 
Noticias de Actualidad 
Estrategias de Inversion
Reseñas de Plataformas de Inversión 
Reseñas de Aplicaciones para Ganar Dinero 
Estrategias para Ahorrar más dinero 
",124,4391,0.00022222222222222223,8.558578813586064e-05
Finanzas TV,UCCvLOUArVf2GrI_f_iYzfrw,"¡Bienvenidos a 'Finanzas TV'! Aquí, exploramos el emocionante mundo de las finanzas de una manera visual y accesible. Te ofrecemos consejos de inversión, estrategias para construir tu riqueza y las últimas noticias de la economía mundial. Acompáñanos en este viaje para mejorar tu educación financiera, tomar decisiones informadas y alcanzar tus metas financieras. 
Si buscas noticias financieras, tendencias económicas y consejos prácticos, has llegado al lugar correcto. 
¡Suscríbete y prepárate para dominar el juego de las finanzas!
",402,49201,0.0007204301075268817,0.0009589857349288271
Economía y Finanzas,UC-WwAKSkDgMk121BmL7qWsw,Sin descripción,2,19,3.5842293906810035e-06,3.703324925031547e-07
Ashire - Finanzas,UCVPVkSYrevgwv4FCIFZQoJg,"Vídeos de educación financiera y economía, los cuales te ayudarán:
•	A mejorar tus finanzas personales.
•	A ganar más dinero.
•	A ser más productivo.
•	A entender mejor cómo va la economía mundial.

Intento desarrollar los temas de manera breve y entendible, ya seas principiante o más avanzado en el mundo económico.

",1470,40683,0.0026344086021505377,0.000792959831184518
Economia y finanzas,UCbjIwcbSGNNanSS_fDvre_Q,Videos que pasan desapercibidos PERO... merecen ser vistos!,1390,106709,0.0024910394265232976,0.0020798847338167965
Percepciones Económicas,UCC35tdrH4dDRFhDEvPYl2bQ,"Economía, finanzas, inversiones, data science. Guillermo Acuña.",208,25459,0.0003727598566308244,0.0004962260487704113
Economía y Finanzas,UClQpqnV5TIr8TFhoFeAs8rg,"Economía y Finanzas transmite documentales y otros videos sobre temas económicos, de negocios e inversiones.",0,4,0.0,7.796473526382205e-08
ES Economía y Finanzas ,UCOodFmKeyYAyD7MLXHSg1uA,"Bienvenidos a mi canal dedicado a Finanzas y Economía de El Salvador y el mundo.

Suscríbete. Videos todos los días.

""La perseverancia es la única que puede hacer la diferencia entre el fracaso y el éxito""
",0,2,0.0,3.898236763191102e-08
Economía y finanzas ,UCit6_-XFKUcauBiIdIOMGXA,Sin descripción,21,3,3.763440860215054e-05,5.847355144786653e-08
Mujeres en Finanzas ,UCPcDdLXH_53wemZfLHkzttg,"Promovemos  la participación de las mujeres en el mundo financiero, con el objetivo de que alcancen posiciones de liderazgo en sus instituciones, tomando un rol mas activo en la economía y los mercados.


",288,6533,0.0005161290322580645,0.00012733590386963735
Economía y Finanzas,UCY63lMjIM2CKFgVt0s0MfsQ,Sin descripción,17,8426,3.046594982078853e-05,0.00016423271483324113
Finanzas con Gus,UCrr-NczCJHrwi1oBS97uwnw,"Las finanzas personales y el éxito financiero: lo que nunca nos enseñaron en la escuela. Este canal tiene como propósito educar al público sobre los principios de las finanzas personales y la economia. 

Para partnerships y asuntos de negocios, por favor mandarme un email.

Este no es y no debe considerarse como una guía de inversión. La información en este canal son una expresión subjetiva de los puntos de vista y la opinión personal de Gus y, bajo ninguna circunstancia, el contenido publicado en el mismo debe tratarse como asesoramiento financiero o de inversión. No debe tomar decisiones financieras basadas únicamente en el contenido de este canal: usted es el único responsable de las decisiones y acciones de inversión que realice.

Hacer Trading es arriesgado y podrías perder parte o todo el capital invertido. La información proporcionada tiene fines informativos y educativos únicamente y no representa ningún tipo de asesoramiento financiero y/o recomendación de inversión
",558000,51305247,1.0,1.0
AulaDeEconomia,UCUIvPmpKsx-YnBRxc-E9IXg,"AulaDeEconomía proporciona gran cantidad de tutoriales sobre economía, finanzas, contabilidad, estadística, gestión de riesgos, Excel, administración y mucho más.


Este canal está dirigido a profesionales, empresarios, estudiantes y profesores en las áreas de negocios, ciencias económicas y empresariales, estadística, análisis de datos, ciencia de datos, Excel, Minitab, gestión de riesgos, administración, etc.

Los videos de AulaDeEconomía se publican con la finalidad de que usted pueda mantenerse al día en las áreas empresariales, económicas y de análisis de datos.

Suscríbase para mantenerse al día, recuerde que un buen profesional siempre se mantiene actualizado!

Visita nuestra página www.auladeeconomia.com

",79300,18325527,0.14211469534050178,0.3571862152812557
Vínculo Económico,UCU8yoHYxQQAGvACHwuiRU4w,"DRIM. Mejora tus finanzas personales y las de tu empresa; la clave está en conocer datos de economía, finanzas, mercados financieros, sustentabilidad, emprendimiento y previsión. Transmisiones en vivo lunes y jueves de 6;00 a 6:50pm, donde puedes compartir tus dudas y comentarios. Vínculo Económico es una Productora de medios y radiodifusión.
",170,9844,0.0003046594982078853,0.00019187121348426605
Economia y Finanzas ,UCj_hZ5q6RCHwfdtYYSFjj_A,"En este canal, encontrarás una amplia variedad de contenido, desde consejos sobre finanzas personales así como también contenidos mas avanzados sobre las economia y finanzas, hasta estrategias de inversión, información sobre mercados financieros y noticias económicas. Nuestro enfoque es proporcionarte las herramientas y conocimientos necesarios para tomar decisiones financieras informadas que te lleven a alcanzar tus metas económicas y aspiraciones de vida.",4,193,7.168458781362007e-06,3.7617984764794136e-06
MALDITAS FINANZAS,UC0XSeJL5cXTPVGqTOHMfhvA,"He creado este canal para resolver dudas relacionadas con educación, inversión y planificación financiera.

***FAQ***
- ¿Quién soy? 
Me llamo Oswaldo. Soy de Granada, y llevo más de 20 años viajando por varias ciudades: Bristol (UK), Madrid y actualmente en Málaga, donde comparto mi vida con mi estupenda esposa y mis dos regalos.
- ¿Qué hago?
Llevo trabajando en Banca durante los últimos 15 años. Sobretodo vinculado a proyectos en Banca Corporativa, construyendo relaciones con los directores financieros de las principales empresas del IBEX35 (Telefónica, Iberia, ACS, El Corte Inglés, CEPSA, entre otros), donde he tenido la oportunidad de nutrirme de las estrategias y forma de trabajar de las mejores empresas en España. Soy Alumni del Executive MBA por ESIC (una de las 5 mejores escuelas de negocios en España).
- ¿Por qué me decidí a abrir este canal?
Esto es inadmisible: 
https://www.lavanguardia.com/economia/20161209/412500545450/espanoles-finanza-economia-conocimiento-educacion.html",4,22,7.168458781362007e-06,4.288060439510212e-07
"GeoEconomia | Finanzas, Economia y Documentales",UCp4KiOIzAqEXEJTI4FCLtJA,"Entra al vertiginoso ritmo del mundo, donde nuestra constante evolución impacta nuestras vidas en múltiples direcciones. La economía, las finanzas y la trayectoria de empresas no solo moldean naciones, sino en ocasiones también forjan el destino de cada individuo. El dinero nos atrapa o nos libera. Nos guste o no, así es el mundo en que vivimos.

Bienvenido a este canal, donde encontraras historias y documentales cautivadores que se entrelazan con la esencia misma de la economía, las finanzas, las empresas y los visionarios emprendedores que han moldeado nuestra realidad. Aquí, te sumergirás en relatos reveladores que desvelan los engranajes ocultos del funcionamiento global. Descubrirás historias fascinantes de triunfos y desafíos enfrentados por audaces empresarios y la inquebrantable determinación de hombres y mujeres que transformaron el curso de nuestras vidas.

Encontrarás documentales e historias fascinantes, sobre finanzas, economía, negocios y el espíritu emprendedor



",3,8,5.376344086021505e-06,1.559294705276441e-07
Economía y Finanzas,UCNLie8stdNpb3BhARDkxQJg,Sin descripción,38,8841,6.810035842293906e-05,0.00017232155611686268
Dani Fernandez: canal economia,UCi7B3XBQ5NswO-tawUGMCOA,Canal de vídeos de economía y temas relacionados con el liberalismo clásico.,12100,665256,0.021684587813620072,0.0129666269806673
Economia Y Finanzas,UCberV5zcMrFyGYg05TBowkw,"""¡Bienvenidos a [Alan_Economía]! Aquí encontrarás una fuente inagotable de conocimientos y consejos para potenciar tu crecimiento personal y alcanzar tus metas financieras. Nuestro canal se centra en tres pilares fundamentales: desarrollo personal, economía y finanzas.

🌟 Desarrollo Personal: Exploraremos estrategias para mejorar tu autoestima, establecer metas claras, superar obstáculos y cultivar una mentalidad positiva. Creemos que el crecimiento personal es el primer paso para lograr el éxito en cualquier aspecto de la vida.

💰 Economía: Sumérgete en el fascinante mundo de la economía, donde desentrañaremos los conceptos clave que afectan tu vida cotidiana. Analizaremos las tendencias económicas, el impacto de las políticas gubernamentales y cómo tomar decisiones financieras inteligentes.

💡 Finanzas: La gestión financiera es esencial para alcanzar tus objetivos. Te brindaremos herramientas prácticas para presupuestar, ahorrar, invertir y construir tu patrimonio. Éxitos Con Diós",4,64,7.168458781362007e-06,1.2474357642211527e-06
Finanzas Economía y Trading,UC9bnENUsaANxQJJAU6BfqAQ,"Análisis técnico con la mejor metodología de análisis existente: Ondas de Elliott en combinación de Patrones Armónicos.
Elliott Waves & Harmonic Pattern training",2640,134807,0.004731182795698925,0.0026275480166775144
ECONOMIA Y FINANZAS PERSONALES,UCp-1n_ih0NSn88bMYI-86ZA,"HOLA AMIGOS 👋 SOY JAVIER CASSAB

BIENVENIDOS A MI CANAL "" ECONOMIA Y FINANZAS PERSONALES""

EN ESTE CANAL ENCONTRARAN TUTORIARES  SOBRE TRANFERENCIAS BANCARIAS DE DIFERENTES ENTIDADES, ASI COMO INFORMACIÓN RELACIONADA CON CUENTAS Y MUCHO MAS !!


https://www.youtube.com/@economiayfinanzas6998",915,286454,0.0016397849462365592,0.00558332756881572
Economia y Finanzas,UCaCs2XcPYW5XKC_FTOv2llg,Sin descripción,5,487,8.960573476702509e-06,9.492206518370333e-06
MegaTop - Finanzas,UCcqU0WqcZGmV9pbum_7E00w,"¡Bienvenido a MegaTop Finanzas!

🚀 Este sera tu canal confiable y experto para todo lo relacionado con economia, negocios y finanzas. Aquí, buscamos empoderar a individuos y empresas, proporcionando información valiosa y accesible sobre finanzas personales, inversiones, emprendimiento, economía y mucho más.

💘 Con un enfoque en contenidos prácticos y aplicables, ofrecemos una gama de videos educativos en cuanto a finanzas personales, análisis de tendencias del mercado, estrategias de inversión y consejos, ¡entre mucho más!. Ya seas un principiante en el mundo financiero, un empresario en crecimiento, o un inversionista experimentado, encontrarás algo de valor aquí.

💸 Nos esforzamos por proporcionar contenido que sea comprensible, relevante y actualizado, para que puedas tomar decisiones financieras bien fundamentadas.

¡Suscríbete y únete a nuestra comunidad para mejorar tu conocimiento financiero y tener éxito en tus emprendimientos de negocios!
",45300,6371755,0.08118279569892473,0.1241930479352336
Uneduc - Economía y Finanzas,UCGeciGJgsTJgLW7CdkANrEg,"👨🏻‍💻 Gabriel Flores-Rozas / 
https://www.linkedin.com/in/gabrielfloresrozas/

🔴  Suscríbete a mi Canal: https://bit.ly/3G9A1jo
⚪  Blog: https://www.gabrielfloresr.com/
🔵  www.uneduc.org / www.mactraining.org / www.kungfu.cl
📩 Mail: gflores.university@gmail.com

Mis canales académicos:
▶️ 1.- GFR Canal Oficial: https://www.youtube.com/user/gfloresgauss/videos
* Suscríbete en https://bit.ly/3G9A1jo
📕 2.- Uneduc - Educación: https://www.youtube.com/channel/UCwyQq_eT4rVQy3Au4Ir-wMQ/videos
📊 3.- Uneduc - Economía y Finanzas: https://www.youtube.com/channel/UCGeciGJgsTJgLW7CdkANrEg/videos
📚 4.- Uneduc - Física y Matemática: https://www.youtube.com/channel/UCIYxfeqT6DSnbtHx3LH01dw/videos
📈 5.- Uneduc - Inteligencia de Negocios: https://www.youtube.com/channel/UCjgQk1AExz6-eBiWbWVvV4w/videos
💻 6.- Mac Training: https://www.youtube.com/channel/UCo3afBq8GOPawPKh-FipRdg/videos
🥋 7.- GFR Artes Marciales: https://www.youtube.com/channel/UCjfIvqPHbUPepkm-aNTdtwQ/videos
",12,1087,2.150537634408602e-05,2.118691680794364e-05
ECONOMÍA Y FINANZAS,UC-e4FSozlER2PM4s-fOTP6w,Sin descripción,2700,1240715,0.004838709677419355,0.02418300412821324
Economía y finanzas.,UCLIeGx2tAoztyTn1DtxmysA,Sin descripción,7,100,1.2544802867383513e-05,1.949118381595551e-06
Finanzas Al Día,UCxwBbtmazrmoxKfjFw9DpgQ,"Bienvenid@ a Finanzas al Día, 

En este canal encontrarás contenido relacionado con el mundo de las finanzas y la economía: Desde educación financiera hasta curiosidades o historias sobre personajes o empresas ilustres.

Nuestra misión es educar a la comunidad de manera gratuita en temas tan importantes como las finanzas personales, la planificación financiera, la independencia financiera, la libertad financiera, los fondos indexados, Bitcoin y otras criptomonedas y cualquier otro posible activo que pueda generar dinero.

Cualquier sugerencia o duda no dudes en dejarla en comentarios y te responderemos a la mayor brevedad posible.

📧 Para consultas comerciales: contactofinanzasaldia@gmail.com
",13600,708748,0.024372759856630826,0.013814337547190835
DR Finanzas,UCy4fRy232xU8DSLT7Fbf82g,"Un canal creado para fomentar la educación financiera, aprender de finanzas personales, finanzas corporativas, finanzas públicas etc.
Además aprende de contabilidad, economía y excel. 
Tutoriales, cursos y clases para crecer tu formación.",2420,256996,0.004336917562724014,0.0050091562759653025
Economía y Finanzas,UCKKql89zJTNtR5HKZO0VJUQ,Sin descripción,0,8,0.0,1.559294705276441e-07
Finanzas Para Ti,UCDnMoP3VSZjGwYbMiV2N0cg,"Bienvenid@ a Finanzas Para Ti !!💥

Canal de finanzas, economía, inversión y asesoramiento financiero.

En este canal nuestra meta es ayudarte y brindarte información educativa acerca de temas relacionados a economía, inversiones, finanzas, ahorros y mucho más.

Aquí podrás adquirir los conocimientos que necesitas para mejorar la gestión de tu dinero y alcanzar tus metas financieras.

Si estas interesado en aprender más sobre estos temas, asegúrate de darle al botón de suscribirse para brindarte de la mejor manera posible!

Para colaboraciones comerciales📥 : Finanzasparatiyt@gmail.com
",7390,406080,0.013243727598566308,0.007914979923983214
Economía y Finanzas,UC1dCE541duT46AYjLu-fk6w,"Economía y Finanzas es un canal especializado en temas económicos y financieros.

En este canal valoramos la importancia de las matemáticas y la estadística para explicar los fenómenos económicos y financieros.



",1,46,1.7921146953405017e-06,8.965944555339535e-07
Moconomy - Economía y Finanzas,UCkcpcQv9rKFqWRO5ocqKZPg,"Moconomy® muestra documentales sobre negocios y finanzas.


COPYRIGHT / IMPORTANT: All Rights Reserved! All of the films published by us are legally licensed. We have acquired the rights (at least for specific territories) from the rightholders by written contract. If you have questions please send an email to: info[at]moconomy.tv, Moconomy GmbH, www.moconomy.tv.",238000,34136043,0.4265232974910394,0.6653518888623614
Eco - Finanzas,UCwOgsDT1Fkkd1Bahy68OW5Q,"¡Bienvenido Eco - Financiero!  😄👋🏼

En este canal, tu canal preferido, aprenderás a economizar tu dinero de forma fácil y sencilla. 💸 📚 💰

Si eres una persona que se preocupa por su capital presente y futuro, eres parte de esta comunidad de Eco - Financieros. 🍀 ✅

Gracias por formar parte de esta familia la Economía Sostenible.💡💚
",46,9014,8.243727598566309e-05,0.00017569353091702298
Cosas de Finanzas,UCBu3cQaQjGclj1TKS7MZkoA,"La verdad es que el dinero puede intimidar, y la mayoría de nosotros no recibimos mucha educación financiera en la escuela. 

En Cosas de Finanzas, nuestro objetivo es hacer accesible el aprendizaje sobre una variedad de temas relacionados con la economía, finanzas y desarrollo personal.

¿Quién no quiere conseguir libertad financiera y construir riqueza? Nosotros queremos compartir contigo los conceptos básicos del dinero, estilo de vida, invertir y otros conceptos y estrategias sobre finanzas.
 
También hablamos sobre las mejores novedades y polémicas en la actualidad que afectan de manera directa o indirecta a la economía y finanzas.

Cualquier duda o sugerencia, puedes dejarla en la sección de comentarios y te responderemos rápidamente. Dicho esto, prepara las palomitas y ponte cómodo para empezar a ver los mejores vídeos sobre Finanzas!

cosasdefinanzascontacto@gmail.com
",1150,100721,0.002060931899641577,0.001963171525126855
