title,channel_id,description,subscriber_count,view_count,normalized_subscribers,normalized_views
Informática Y Tecnología Multimedia UCR,UCYAsq2HfTKPX-lPggAi6kbg,"Canal de la carrera Informática y tecnología multimedia, Universidad de Costa Rica, Sede del Pacífico",23,1211,0.00024338624338624337,4.358499269726429e-05
Travesías Informática y Tecnología,UCIVe8ArzV0JetrqFLCl9SmA,Sin descripción,0,87,0.0,3.1312092193740657e-06
Tecnología Informática,UC9W0FY4jHB3u5gNOvfXImjA,Presentación de trabajos de alumnos de la Secundaria #37 en Tijuana B. C.,1,87,1.0582010582010582e-05,3.1312092193740657e-06
Tecnologia informatica,UCMjzZ4RexOFs36dqJaeGz2Q,Sin descripción,0,13,0.0,4.6788183737773394e-07
Tecnologia E Informática,UCIP7WMRpn8K1XacODhuIV1g,Sin descripción,232,80048,0.0024550264550264552,0.0028810004091086804
Tecnología Informática,UCGAV3CEFjvjQl6c1jpxrajA,Sin descripción,126,1313,0.0013333333333333333,4.725606557515113e-05
Área de Informática y Tecnología,UC8crlgOQ_-JGhJwK-NyOpkg,"IEM Pedagógico
Jesús G. Cortés Camacho
Área de Informática y Tecnología
San Juan de Pasto 2021",13,371,0.00013756613756613756,1.3352627820549177e-05
Informatica e Tecnologia,UCGmV6SJk96JOEYpAeAuA2lQ,"Avete dubbi sull'utilizzo del pc e delle sue funzioni? Volete imparare come usare software, termini tecnici, e usare il proprio pc senza chiedere nulla a nessuno? Bene siete nel canale giusto, armatevi di pazienza e seguitemi per imparare il mondo dell'informatica....",139,2619,0.0014708994708994708,9.426019477632962e-05
informatica tecnologia,UC91CpAznz_yU9IZ3BaCufeg,Sin descripción,0,58,0.0,2.0874728129160437e-06
TECNOLOGIA E INFORMATICA IEFRY,UCXsjAlLaIacMgnJKoQnC61w,Sin descripción,1,16,1.0582010582010582e-05,5.758545690802879e-07
INFORMÁTICA & TECNOLOGIA,UCDjOFqOJnQwfbjma6Bjje3Q," Objetivo desse canal é ajudar as pessoas que precisam resolver seus problemas tecnológico, visando essa situação nós criamos esse canal onde ensinamos e disponibilizamos vários tipos de informações e conteúdos relativos à informática e também a tecnologia Para facilitar a vida das pessoas Levando-as a resolver seus problemas com tecnológicos  sem a burocracia de ter que esperar por longos períodos...
",3,35,3.1746031746031745e-05,1.2596818698631297e-06
Tecnologia e Informatica,UCZy5gvGOyHi8L7son6xphqw,"En este canal encuentra información relacionada con el mundo de la tecnología y la informática, ",6,364,6.349206349206349e-05,1.310069144657655e-05
Tecnologia e Informatica Educativa,UCpTbYg1N60MI4PoabjkHE0g,Canal educativo donde se suben videos de guías de trabajo de las asignaturas de Informática educativa y educación tecnológica,19,155,0.00020105820105820107,5.5785911379652895e-06
Tecnología Informática Profesional,UCNjZXDMCt2eqRw_6SzrUh7w,Sin descripción,3,404,3.1746031746031745e-05,1.454032786927727e-05
"Ilogimatic - Ingeniería, Tecnología e Informática",UCjk388Ry_V4cMRbpHuQUcaw,"Tecnología, ingeniería, informática y telecomunicaciones. una empresa comprometida con el desarrollo y la aplicación de la tecnología en el entorno de nuestros clientes.

 Contamos con un amplio portafolio de servicios y personal profesional altamente calificado.",18,1423,0.00019047619047619048,5.1215065737578104e-05
tecnologia informatica Mercabar C.A,UCzriGTP9nLSotQfSoYMfE5w,Sin descripción,0,66,0.0,2.3754000974561878e-06
Informática Tecnología,UC_Eiefg-pDUdR7kOE4ANcLQ,Sin descripción,18,0,0.00019047619047619048,0.0
Canal Educativo Tecnología e Informática L.M.,UCsUihqonBSE1kTXocrUIgTA,"Canal de tecnología e informática, liceo moderno Palmira.",1,11,1.0582010582010582e-05,3.9590001624269796e-07
Iker.luciano.esfir.tecnologia II informatica,UCj4cFadWg3egs7i1mOx0K2g,Sin descripción,0,1,0.0,3.5990910567517996e-08
Informática & Tecnologia,UCMrXzqrlNgAQrT-RnWvpqVA,"Canal sobre informática e tecnologia em geral. Aqui você irá encontrar informações sobre computadores, laptops, redes, câmeras de segurança e outros dispositivos inteligentes modernos. Um lugar interessante para quem quer aprender sobre e progredir na carreira profissional ou apenas se atualizar sobre tecnologia em geral.",2530,170855,0.026772486772486774,0.006149227025013287
DESPAÑA: TECNOLOGÍA E INFORMÁTICA,UC0JsvnA0UovJBkuRCNSefIA,"Canal educativo principalmente de tecnología, informática y educación, no solo para los jóvenes sino para cualquier persona amante del aprendizaje. Soy ingeniero electrónico y un docente dispuesto a transmitir conocimientos y a aprender de ustedes a través de la retroalimentación en este espacio.",10,2874,0.00010582010582010582,0.00010343787697104672
Informatica y tecnologia,UCfOJ121cJbj7sOQSTSeL2iA,canal de informatica y tecnologia,140,39243,0.0014814814814814814,0.0014123913034011087
InfoTec Informatica y Tecnologia,UC2nF29bCkSgZN_GttXf4XDQ,Sin descripción,0,145,0.0,5.218682032290109e-06
